#separator:Pipe          
#notetype:Latin Conjugation
#deck column:7
#columns:Verb|Conjugated Verb|Conjugation Meaning|Greek Sentence|English Sentence|Morphology|Deck
εἰμί|εἰμί|I am|<v>εἰμί</v> ἄνθρωπος.|I am a human.|1P sg. pres. ind. act.|Greek Conjugation::1. εἰμί
εἰμί|εἶ|you are|<v>εἶ</v> σοφός.|You are wise.|2P sg. pres. ind. act.|Greek Conjugation::1. εἰμί
εἰμί|ἐστί|he/she/it is|<v>ἐστί</v> καλόν.|It is beautiful.|3P sg. pres. ind. act.|Greek Conjugation::1. εἰμί
εἰμί|ἐστόν|you two are|<v>ἐστόν</v> φίλω.|You two are friends.|2P dual. pres. ind. act.|Greek Conjugation::1. εἰμί
εἰμί|ἐστόν|they two are|<v>ἐστόν</v> ἀδελφώ.|They two are brothers.|3P dual. pres. ind. act.|Greek Conjugation::1. εἰμί
εἰμί|ἐσμέν|we are|<v>ἐσμέν</v> Ἕλληνες.|We are Greeks.|1P pl. pres. ind. act.|Greek Conjugation::1. εἰμί
εἰμί|ἐστέ|you are|<v>ἐστέ</v> μαθηταί.|You are students.|2P pl. pres. ind. act.|Greek Conjugation::1. εἰμί
εἰμί|εἰσί|they are|<v>εἰσί</v> θεοί.|They are gods.|3P pl. pres. ind. act.|Greek Conjugation::1. εἰμί
εἰμί|ἦν|I was|<v>ἦν</v> νέος.|I was young.|1P sg. impf. ind. act.|Greek Conjugation::1. εἰμί
εἰμί|ἦσθα|you were|<v>ἦσθα</v> παῖς.|You were a child.|2P sg. impf. ind. act.|Greek Conjugation::1. εἰμί
εἰμί|ἦν|he/she/it was|<v>ἦν</v> δίκαιος.|He was just.|3P sg. impf. ind. act.|Greek Conjugation::1. εἰμί
εἰμί|ἦστον|you two were|<v>ἦστον</v> ἐκεῖ.|You two were there.|2P dual. impf. ind. act.|Greek Conjugation::1. εἰμί
εἰμί|ἤστην|they two were|<v>ἤστην</v> φίλω.|They two were friends.|3P dual. impf. ind. act.|Greek Conjugation::1. εἰμί
