#separator:Pipe          
#notetype:Latin Conjugation
#deck column:7
#columns:Verb|Conjugated Verb|Conjugation Meaning|Latin Sentence|English Sentence|Morphology|Deck
sum|sum|I am|<v>sum</v> fortis.|I am brave.|1P sg. pres. act. ind.|Conjugation::sum
sum|es|you are|<v>es</v> sapiens.|You are wise.|2P sg. pres. act. ind.|Conjugation::sum
sum|est|he/she/it is|puer <v>est</v> laetus.|The boy is happy.|3P sg. pres. act. ind.|Conjugation::sum
sum|sumus|we are|<v>sumus</v> parati.|We are ready.|1P pl. pres. act. ind.|Conjugation::sum
sum|estis|you all are|<v>estis</v> fortes.|You all are brave.|2P pl. pres. act. ind.|Conjugation::sum
sum|sunt|they are|puellae <v>sunt</v> laetae.|The girls are happy.|3P pl. pres. act. ind.|Conjugation::sum
sum|eram|I was|<v>eram</v> iuvenis.|I was young.|1P sg. impf. act. ind.|Conjugation::sum
sum|eras|you were|<v>eras</v> dux.|You were a leader.|2P sg. impf. act. ind.|Conjugation::sum
sum|erat|he/she/it was|tempus <v>erat</v> bonum.|The time was good.|3P sg. impf. act. ind.|Conjugation::sum
sum|erāmus|we were|<v>erāmus</v> amīcī.|We were friends.|1P pl. impf. act. ind.|Conjugation::sum
sum|erātis|you all were|<v>erātis</v> doctī.|You all were learned.|2P pl. impf. act. ind.|Conjugation::sum
sum|erant|they were|viae <v>erant</v> longae.|The roads were long.|3P pl. impf. act. ind.|Conjugation::sum
sum|erō|I will be|<v>erō</v> consul.|I will be consul.|1P sg. fut. act. ind.|Conjugation::sum
sum|eris|you will be|<v>eris</v> victor.|You will be the victor.|2P sg. fut. act. ind.|Conjugation::sum
sum|erit|he/she/it will be|dies <v>erit</v> clara.|The day will be bright.|3P sg. fut. act. ind.|Conjugation::sum
sum|erimus|we will be|<v>erimus</v> fortēs.|We will be brave.|1P pl. fut. act. ind.|Conjugation::sum
sum|eritis|you all will be|<v>eritis</v> magistrī.|You all will be teachers.|2P pl. fut. act. ind.|Conjugation::sum
sum|erunt|they will be|stellae <v>erunt</v> clarae.|The stars will be bright.|3P pl. fut. act. ind.|Conjugation::sum
sum|fuī|I was/have been|<v>fuī</v> felix.|I was happy.|1P sg. perf. act. ind.|Conjugation::sum
sum|fuistī|you were/have been|<v>fuistī</v> bonus.|You were good.|2P sg. perf. act. ind.|Conjugation::sum
sum|fuit|he/she/it was/has been|rex <v>fuit</v> potens.|The king was powerful.|3P sg. perf. act. ind.|Conjugation::sum
sum|fuimus|we were/have been|<v>fuimus</v> Trōes.|We were Trojans.|1P pl. perf. act. ind.|Conjugation::sum
sum|fuistis|you all were/have been|<v>fuistis</v> fidēlēs.|You all were faithful.|2P pl. perf. act. ind.|Conjugation::sum
sum|fuērunt|they were/have been|tempora <v>fuērunt</v> dura.|The times were hard.|3P pl. perf. act. ind.|Conjugation::sum
sum|fueram|I had been|<v>fueram</v> pauper.|I had been poor.|1P sg. plup. act. ind.|Conjugation::sum
sum|fuerās|you had been|<v>fuerās</v> absēns.|You had been absent.|2P sg. plup. act. ind.|Conjugation::sum
sum|fuerat|he/she/it had been|mare <v>fuerat</v> tranquillum.|The sea had been calm.|3P sg. plup. act. ind.|Conjugation::sum
sum|fuerāmus|we had been|<v>fuerāmus</v> cīvēs.|We had been citizens.|1P pl. plup. act. ind.|Conjugation::sum
sum|fuerātis|you all had been|<v>fuerātis</v> parātī.|You all had been prepared.|2P pl. plup. act. ind.|Conjugation::sum
sum|fuerant|they had been|portae <v>fuerant</v> clausae.|The gates had been closed.|3P pl. plup. act. ind.|Conjugation::sum
sum|fuerō|I will have been|<v>fuerō</v> contentus.|I will have been satisfied.|1P sg. futperf. act. ind.|Conjugation::sum
sum|fueris|you will have been|<v>fueris</v> fēlīx.|You will have been happy.|2P sg. futperf. act. ind.|Conjugation::sum
sum|fuerit|he/she/it will have been|opus <v>fuerit</v> perfectum.|The work will have been completed.|3P sg. futperf. act. ind.|Conjugation::sum
sum|fuerimus|we will have been|<v>fuerimus</v> victōrēs.|We will have been victors.|1P pl. futperf. act. ind.|Conjugation::sum
sum|fueritis|you all will have been|<v>fueritis</v> laudātī.|You all will have been praised.|2P pl. futperf. act. ind.|Conjugation::sum
sum|fuerint|they will have been|agrī <v>fuerint</v> cultī.|The fields will have been cultivated.|3P pl. futperf. act. ind.|Conjugation::sum
sum|sim|may I be|utinam <v>sim</v> fortis.|May I be brave.|1P sg. pres. act. subj.|Conjugation::sum
sum|sīs|may you be|utinam <v>sīs</v> fēlīx.|May you be happy.|2P sg. pres. act. subj.|Conjugation::sum
sum|sit|may he/she/it be|pāx <v>sit</v> vōbīscum.|May peace be with you.|3P sg. pres. act. subj.|Conjugation::sum
sum|sīmus|may we be|<v>sīmus</v> fortēs.|May we be brave.|1P pl. pres. act. subj.|Conjugation::sum
sum|sītis|may you all be|<v>sītis</v> parātī.|May you all be prepared.|2P pl. pres. act. subj.|Conjugation::sum
sum|sint|may they be|omnēs <v>sint</v> laetī.|May all be happy.|3P pl. pres. act. subj.|Conjugation::sum
sum|essem|I would be|<v>essem</v> melior.|I would be better.|1P sg. impf. act. subj.|Conjugation::sum
sum|essēs|you would be|<v>essēs</v> dīgnus.|You would be worthy.|2P sg. impf. act. subj.|Conjugation::sum
sum|esset|he/she/it would be|vita <v>esset</v> brevis.|Life would be short.|3P sg. impf. act. subj.|Conjugation::sum
sum|essēmus|we would be|<v>essēmus</v> līberī.|We would be free.|1P pl. impf. act. subj.|Conjugation::sum
sum|essētis|you all would be|<v>essētis</v> sapientēs.|You all would be wise.|2P pl. impf. act. subj.|Conjugation::sum
sum|essent|they would be|omnēs <v>essent</v> aequālēs.|All would be equal.|3P pl. impf. act. subj.|Conjugation::sum
sum|fuerim|I may have been|<v>fuerim</v> stultus.|I may have been foolish.|1P sg. perf. act. subj.|Conjugation::sum
